0.0,2.55,5.984,0.0,0.0,0.718,1.328,0.0,0.0,1.849,1.251,0.0
0.0,0.0,0.0,1.034,0.0,0.0,0.0,6.177,0.0,0.0,0.0,3.616
0.0,0.0,0.0,1.665,1.396,0.731,1.843,5.376,3.897,0.741,0.918,0.0
0.0,0.0,3.004,0.0,0.0,0.0,0.686,0.0,0.0,0.0,1.375,0.0
2.611,0.0,0.0,1.301,0.272,0.0,0.0,5.837,1.311,0.0,0.0,8.042
0.0,0.0,0.0,0.887,0.471,1.805,2.151,4.776,0.922,3.798,1.337,0.0
2.208,1.619,0.0,0.825,0.192,1.069,0.0,1.023,0.364,1.242,0.0,6.636
0.0,0.0,0.0,0.619,0.292,0.885,0.719,0.806,0.402,0.307,1.964,0.0
0.249,1.419,2.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.081
0.0,0.0,0.0,0.0,0.0,1.441,1.831,2.257,0.996,1.442,2.581,0.0
1.312,0.558,1.013,0.0,1.87,1.489,3.945,0.0,2.621,1.583,2.489,0.0
0.0,1.357,1.042,0.0,0.0,2.626,4.451,0.0,0.0,2.177,2.243,0.0
3.035,0.943,2.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886
0.0,0.0,0.0,0.0,0.0,0.0,4.821,5.46,2.8,2.038,3.746,0.0
0.0,0.0,0.0,3.602,0.0,0.0,0.0,5.067,0.0,0.0,0.0,5.11
0.531,0.0,0.0,4.655,2.11,0.0,0.0,6.099,1.382,0.0,0.0,4.03
0.0,0.0,1.088,0.0,0.0,0.0,3.517,0.0,0.0,0.0,1.589,0.0
2.097,3.171,2.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181
0.0,0.0,0.0,3.121,0.0,0.0,0.0,6.474,2.206,2.543,3.112,0.0
0.0,0.0,0.0,2.153,0.861,0.0,0.0,1.072,0.836,0.36,1.276,0.0
1.112,1.494,0.0,2.978,0.952,2.329,0.0,4.416,1.491,1.641,0.0,3.937
0.904,1.498,1.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153
1.078,0.809,0.386,0.0,0.787,2.703,4.235,0.0,1.0,3.249,4.781,0.0
0.589,0.778,0.545,1.839,0.464,0.757,1.393,0.0,0.0,0.0,0.364,4.691
0.0,0.0,0.0,3.025,0.0,0.0,0.0,2.876,0.0,0.0,0.0,3.402
0.0,1.613,1.113,0.0,0.0,2.422,5.631,0.0,0.0,2.843,6.162,0.0
4.11,0.774,0.251,4.697,2.254,2.068,3.265,0.0,0.0,0.0,0.0,4.905
1.504,0.0,0.0,5.403,2.444,0.0,0.0,5.61,2.243,0.0,0.0,4.768
0.0,0.0,1.093,0.0,0.0,0.0,3.901,0.0,0.0,0.0,2.527,0.0
0.493,3.597,1.083,2.686,1.352,2.495,3.004,1.286,0.0,0.0,0.0,6.027
0.393,0.705,1.84,0.911,0.274,1.599,2.44,1.707,0.427,0.0,0.0,1.176
0.308,0.832,0.0,4.798,1.981,1.248,0.0,2.953,1.91,0.75,0.0,1.324
0.276,3.029,5.551,0.0,0.979,0.692,1.291,0.0,1.127,0.246,0.946,0.0
0.0,0.0,0.0,0.802,1.3,0.546,1.39,5.655,1.301,0.481,1.721,0.0
